"DATE","HOTEL_ID","COUNTRY","HOTEL_STARS","ROOM_PRICE","ROOM_COST","LOS","DTA","BOOKING_DOW","CHECK_IN_DOW"
2019-05-11,263776,"US",3,103.59,90,1,4,"Sat","Wed"
2019-05-26,263776,"US",3,109.33,99.39,1,0,"Sun","Sun"
2019-05-13,312906,"US",2,130.94,107.59,1,0,"Mon","Mon"
2019-05-18,112332,"US",2,60.33,52.98,1,1,"Sun","Mon"
2019-05-13,135753,"US",2,114.16,103.58,1,2,"Mon","Wed"
2019-05-25,122504,"US",3,208.42,185.11,1,0,"Sat","Sat"
2019-05-23,122504,"US",3,135.35,122.09,1,32,"Sun","Thu"
2019-05-24,163255,"US",3,278.64,223.85,2,1,"Fri","Sat"
2019-05-16,275988,"US",3,116.93,105.35,1,1,"Fri","Sat"
2019-05-27,106041,"US",4,297.34,262.32,1,8,"Tue","Wed"
2019-05-17,126059,"US",5,1270.37,1077.04,2,49,"Fri","Fri"
2019-05-24,126059,"US",5,1270.37,1077.04,2,41,"Fri","Thu"
2019-05-19,1034231,"US",2,118,106.97,1,0,"Mon","Sun"
2019-05-11,414383,"US",3,299.39,264,1,6,"Sun","Sat"
2019-05-24,1051453,"US",4,258.39,229.36,2,73,"Sun","Wed"
2019-05-17,161710,"US",2,94.68,81.97,1,0,"Fri","Fri"
2019-05-31,161710,"US",2,94.5,85,1,0,"Fri","Fri"
2019-05-18,161710,"US",2,94.7,86.6,1,0,"Sat","Sat"
2019-05-23,161710,"US",2,265.38,224.57596,3,1,"Thu","Fri"
2019-05-29,278489,"US",3,88.35,81.06,1,0,"Thu","Wed"
2019-05-30,278489,"US",3,123.08,111.39,1,0,"Fri","Fri"
2019-05-24,259502,"US",4,128.37,111.15,1,0,"Fri","Fri"
2019-05-11,259502,"US",4,107.11,94.21,1,0,"Sun","Sat"
2019-05-24,547337,"US",3,124.2,112.35,1,0,"Fri","Fri"
2019-05-13,413590,"US",2,63.16,59,1,0,"Mon","Mon"
2019-05-13,116107,"US",2,63.14,59,1,0,"Mon","Mon"
2019-05-15,138925,"US",3,102.37,92.72,1,2,"Thu","Sat"
2019-05-24,121946,"US",3,199.49,177.84,1,0,"Fri","Fri"
2019-05-30,121946,"US",3,146.12,131.47,1,1,"Thu","Fri"
2019-05-14,150756,"US",1,55.87,56.09819,1,0,"Wed","Tue"
2019-05-21,150756,"US",1,56.74,53.38,1,0,"Wed","Tue"
2019-05-24,150756,"US",1,75.07,74.08859,1,0,"Sat","Fri"
2019-05-25,110875,"US",4,145.52,124.45,1,20,"Sun","Sat"
2019-05-10,340354,"US",2,271.96,240.42,2,0,"Fri","Fri"
2019-05-11,264713,"US",3,103.95,94.68,1,0,"Sun","Sat"
2019-05-27,762462,"US",2,38.88,37.71,1,0,"Mon","Mon"
2019-05-16,140060,"US",2,56.45,48.96,1,0,"Thu","Thu"
2019-05-18,195754,"US",2,98.96,90.32,1,0,"Sat","Sat"
2019-05-10,116084,"US",2,159.9,153.5743,2,0,"Fri","Fri"
2019-05-20,220113,"US",3,195.47,174.29,1,3,"Tue","Fri"
2019-05-12,206879,"US",2,87.03,79.88,1,3,"Sun","Wed"
2019-05-18,108317,"US",2,116.25,86.92,1,0,"Sun","Sat"
2019-05-24,163394,"US",3,69.15,52.97,1,0,"Fri","Fri"
2019-05-25,187970,"US",2,84.36,77.55,1,1,"Sat","Sun"
2019-05-21,187970,"US",2,123.82,112,1,4,"Tue","Sat"
2019-05-25,108054,"US",2,67.15,66.66755,1,0,"Sat","Sat"
2019-05-23,108054,"US",2,59.47,50.57,1,0,"Thu","Thu"
2019-05-25,439382,"US",3,140.6,126.6,1,33,"Wed","Mon"
2019-05-30,202121,"US",2,68.11,62.82,1,0,"Thu","Thu"
2019-05-20,205733,"US",2,139.63,125.78,1,18,"Mon","Fri"
2019-05-14,364326,"US",2,200.9,179,2,15,"Wed","Thu"
2019-05-23,364326,"US",2,97.76,91.16,1,1,"Thu","Fri"
2019-05-22,109625,"US",4,72.66,67.33,1,0,"Wed","Wed"
2019-05-31,109625,"US",4,258.79,229.11,3,1,"Fri","Sat"
2019-05-30,109625,"US",4,78.02,61.89,1,0,"Thu","Thu"
2019-05-30,109625,"US",4,71.5,61.89,1,2,"Thu","Sat"
2019-05-27,109625,"US",4,70.14,61.89,1,0,"Mon","Mon"
